,id,png,Dice_score,True_Positive,True_Negative,False_Negative,False_Positive,Precision,Recall,Specificity,Overall Accuracy,IoU
0,0,KBY15_IMG_29925-23256.png,0.8439326,4837,58910,353,1436,0.7710824,0.9319846,0.9762039,0.972702,0.730003
1,1,KBY15_IMG_3078-14535.png,0.93183476,6384,58218,113,821,0.88605136,0.98260736,0.98609394,0.9857483,0.8723695
2,2,KBY15_IMG_11286-9747.png,0.9514947,1687,63677,82,90,0.94935286,0.9536461,0.9985886,0.9973755,0.90747714
3,3,KBY15_IMG_3933-13509.png,0.9654992,1847,63557,53,79,0.95898235,0.97210526,0.99875855,0.99798584,0.93329966
4,4,KBY15_IMG_19836-15732.png,0.7368421,77,65404,47,8,0.90588236,0.62096775,0.9998777,0.99916077,0.5833333
5,5,KBY15_IMG_30780-24282.png,0.92442495,1688,63572,187,89,0.9499156,0.90026665,0.998602,0.9957886,0.8594705
6,6,KBY15_IMG_4104-13167.png,0.466948,1826,59541,135,4034,0.31160408,0.9311576,0.9365474,0.9363861,0.30458716
7,7,KBY15_IMG_7182-9918.png,0.95560986,3326,61901,46,263,0.92672056,0.9863582,0.99576926,0.99528503,0.9149931
8,8,KBY15_IMG_7524-9405.png,0.95213115,1452,63938,45,101,0.9349646,0.9699399,0.99842286,0.9977722,0.9086358
9,9,KBY15_IMG_9747-4104.png,0.9022131,5259,59137,70,1070,0.83093697,0.9868643,0.982228,0.982605,0.82184714
10,10,KBY15_IMG_29583-12483.png,0.93741155,1655,63660,153,68,0.960534,0.9153761,0.99893296,0.9966278,0.8821962
11,11,KBY15_IMG_12825-7695.png,0.8944338,233,65248,44,11,0.954918,0.84115523,0.99983144,0.99916077,0.8090278
12,12,KBY15_IMG_14877-22743.png,0.8950412,6579,57414,392,1151,0.8510996,0.943767,0.9803466,0.9764557,0.8100222
13,13,KBY15_IMG_14193-3249.png,0.9014322,3745,60972,554,265,0.9339152,0.87113285,0.9956725,0.98750305,0.8205522
14,14,KBY15_IMG_20178-22914.png,nan,0,65114,2,420,0.0,0.0,0.9935911,0.9935608,0.0
15,15,KBY15_IMG_8037-16416.png,0.9684945,15693,48822,228,793,0.9518986,0.98567927,0.98401695,0.9844208,0.93891346
16,16,KBY15_IMG_19836-15903.png,0.9698538,10118,54789,46,583,0.9455191,0.9954742,0.9894712,0.9904022,0.94147205
17,17,KBY15_IMG_23256-18810.png,0.9822013,4056,61333,34,113,0.9728952,0.99168706,0.99816096,0.99775696,0.965025
18,18,KBY15_IMG_20520-23085.png,0.6070991,496,64398,99,543,0.4773821,0.83361346,0.99163854,0.99020386,0.43585238
19,19,KBY15_IMG_12483-21717.png,0.95367026,6340,58580,90,526,0.9233906,0.9860031,0.9911007,0.9906006,0.91144335
20,20,KBY15_IMG_10602-3762.png,0.9240403,1697,63560,33,246,0.8733917,0.98092484,0.9961446,0.9957428,0.85880566
21,21,KBY15_IMG_32661-24282.png,0.4848485,8,65511,12,5,0.61538464,0.4,0.9999237,0.9997406,0.32
22,22,KBY15_IMG_30096-12654.png,0.95750964,3245,62003,125,163,0.9521714,0.962908,0.997378,0.99560547,0.9184829
23,23,KBY15_IMG_27702-27189.png,nan,0,65456,11,69,0.0,0.0,0.99894696,0.9987793,0.0
24,24,KBY15_IMG_28557-24111.png,0.959201,2833,62462,124,117,0.960339,0.9580656,0.9981304,0.99632263,0.9216005
25,25,KBY15_IMG_13509-22401.png,0.8471074,205,65257,52,22,0.9030837,0.79766536,0.999663,0.99887085,0.734767
26,26,KBY15_IMG_7011-10431.png,0.95013595,3668,61483,103,282,0.9286076,0.9726863,0.9954343,0.99412537,0.9050086
27,27,KBY15_IMG_14535-22914.png,0.62941337,1132,63071,120,1213,0.4827292,0.90415335,0.9811306,0.97966003,0.4592292
28,28,KBY15_IMG_7524-17271.png,0.9578795,10245,54390,166,735,0.9330601,0.98405534,0.9866667,0.98625183,0.9191638
29,29,KBY15_IMG_7695-15903.png,0.93913233,21647,41083,367,2439,0.89873785,0.9833288,0.94395936,0.95718384,0.88524926
30,30,KBY15_IMG_15048-2223.png,0.9708818,11770,53060,271,435,0.96435887,0.9774936,0.9918684,0.9892273,0.94341135
31,31,KBY15_IMG_11970-3762.png,0.13333334,4,65480,49,3,0.5714286,0.0754717,0.99995416,0.99920654,0.071428575
32,32,KBY15_IMG_30438-24111.png,0.15555556,7,65453,13,63,0.1,0.35,0.9990384,0.99884033,0.084337346
33,33,KBY15_IMG_19836-16416.png,0.8719232,3135,61480,31,890,0.77888197,0.99020845,0.9857303,0.98594666,0.772929
34,34,KBY15_IMG_13680-22401.png,0.9543793,3525,61674,98,239,0.9365037,0.9729506,0.99613976,0.9948578,0.9127395
35,35,KBY15_IMG_23085-9234.png,0.73557866,2053,62007,422,1054,0.660766,0.82949495,0.983286,0.977478,0.5817512
36,36,KBY15_IMG_22743-9576.png,0.9337095,1986,63268,15,267,0.88149136,0.99250376,0.9957976,0.995697,0.8756614
37,37,KBY15_IMG_10773-3420.png,0.9384292,7354,57217,80,885,0.892584,0.9892386,0.98476815,0.98527527,0.8840005
38,38,KBY15_IMG_13680-20520.png,0.9229534,575,64865,35,61,0.9040881,0.94262296,0.99906045,0.99853516,0.85692996
39,39,KBY15_IMG_20007-23598.png,0.89228886,7990,55617,157,1772,0.81847984,0.9807291,0.969123,0.9705658,0.80552477
40,40,KBY15_IMG_10773-2907.png,0.9343313,7178,57349,555,454,0.9405136,0.9282297,0.9921457,0.9846039,0.87675583
41,41,KBY15_IMG_7011-16245.png,0.9342818,2758,62390,56,332,0.8925566,0.9800995,0.9947068,0.9940796,0.8766688
42,42,KBY15_IMG_7011-9918.png,0.9015014,2732,62207,21,576,0.82587665,0.992372,0.99082553,0.9908905,0.82066685
43,43,KBY15_IMG_3591-14877.png,0.96810544,17180,47224,651,481,0.97276485,0.96349055,0.9899172,0.98272705,0.9381826
44,44,KBY15_IMG_3078-16929.png,0.9321361,9395,54773,738,630,0.9371571,0.92716867,0.98862875,0.979126,0.87289786
45,45,KBY15_IMG_3249-14706.png,0.9501001,5693,59245,77,521,0.91615707,0.9866551,0.99128264,0.99087524,0.9049436
46,46,KBY15_IMG_14877-3420.png,0.9518322,4130,60988,239,179,0.958459,0.9452964,0.9970736,0.9936218,0.9080915
47,47,KBY15_IMG_23256-18468.png,0.9076159,4755,59813,14,954,0.83289546,0.99706435,0.9843007,0.9852295,0.83085793
48,48,KBY15_IMG_7353-16929.png,0.9394892,7926,56589,344,677,0.92130655,0.9584039,0.98817796,0.9844208,0.8858835
49,49,KBY15_IMG_6669-16587.png,0.97362494,22038,42304,312,882,0.96151835,0.9860403,0.9795767,0.981781,0.94860536
50,50,KBY15_IMG_19836-16074.png,0.9205388,2734,62330,7,465,0.8546421,0.9974462,0.99259496,0.99279785,0.85277605
51,51,KBY15_IMG_14877-2394.png,0.9528684,4468,60626,214,228,0.951448,0.954293,0.9962533,0.9932556,0.90997964
52,52,KBY15_IMG_12996-7353.png,nan,0,65471,23,42,0.0,0.0,0.9993589,0.9990082,0.0
53,53,KBY15_IMG_14706-23085.png,0.9456642,4264,60782,296,194,0.9564827,0.93508774,0.9968184,0.9925232,0.8969289
54,54,KBY15_IMG_28044-13167.png,0.95079243,10289,54182,352,713,0.9351936,0.9669204,0.98701155,0.9837494,0.90620047
55,55,KBY15_IMG_17955-24453.png,0.94376755,1007,64409,58,62,0.9420019,0.9455399,0.99903834,0.99816895,0.8935226
