,id,png,Dice_score,True_Positive,True_Negative,False_Negative,False_Positive,Precision,Recall,Specificity,Overall Accuracy,IoU
39,39,KBY15_IMG_20007-23598.png,0.006325582,0.06666667,65514.99,0.011764707,20.933334,0.003174603,0.85,0.9996806,0.9996804,0.0031728256
40,40,KBY15_IMG_10773-2907.png,0.0066771586,7.811765,63203.965,0.03529412,2324.1882,0.0033498136,0.99550223,0.9645315,0.9645352,0.0033497626
41,41,KBY15_IMG_7011-16245.png,0.0073059793,9.819609,62857.72,0.28235298,2668.1807,0.0036667692,0.97204965,0.95928055,0.9592825,0.0036663825
42,42,KBY15_IMG_7011-9918.png,0.0072185127,30.882355,57010.453,1.5490198,8493.117,0.0036229887,0.952237,0.8703412,0.8703817,0.0036223305
43,43,KBY15_IMG_3591-14877.png,0.0060779634,22.133333,58274.992,0.007843138,7238.867,0.0030482484,0.99964577,0.88950634,0.88954353,0.003048245
44,44,KBY15_IMG_3078-16929.png,0.0071139904,29.627453,57236.28,0.7215687,8269.373,0.0035700023,0.9762243,0.8737609,0.87380844,0.0035696924
45,45,KBY15_IMG_3249-14706.png,0.006611909,18.631374,59918.93,0.070588246,5598.369,0.0033169615,0.9962256,0.9145513,0.9145746,0.0033169198
46,46,KBY15_IMG_14877-3420.png,0.0038823625,3.9137259,63523.758,0.24313729,2008.0863,0.0019451918,0.9415094,0.9693571,0.96935534,0.0019449567
47,47,KBY15_IMG_23256-18468.png,0.0077574058,0.17254904,65491.688,0.31372553,43.82745,0.003921569,0.3548387,0.99933124,0.99932647,0.003893806
48,48,KBY15_IMG_7353-16929.png,0.0035322604,1.9450982,64436.613,0.38823533,1097.0549,0.0017698801,0.83361346,0.9832597,0.9832544,0.0017692549
49,49,KBY15_IMG_6669-16587.png,0.0074075777,64.5804,48164.273,1.7254905,17305.42,0.0037179273,0.97397685,0.7356728,0.73591393,0.0037175578
50,50,KBY15_IMG_19836-16074.png,0.007297726,40.231377,54550.504,1.4980394,10943.769,0.0036627254,0.96410114,0.83290493,0.8329885,0.003662226
51,51,KBY15_IMG_14877-2394.png,0.006838979,26.364708,57852.234,0.76470596,7656.6357,0.003431564,0.97181267,0.8831206,0.8831573,0.0034312224
52,52,KBY15_IMG_12996-7353.png,0.0068916334,25.2,58247.984,0.015686275,7262.8003,0.0034577386,0.9993779,0.8891358,0.8891782,0.003457731
53,53,KBY15_IMG_14706-23085.png,0.007523568,17.29804,60954.938,1.0627452,4562.702,0.0037768646,0.9421187,0.9303592,0.93036246,0.0037759882
54,54,KBY15_IMG_28044-13167.png,0.0075312243,40.113724,54923.473,0.52941185,10571.887,0.0037800344,0.9869742,0.83858573,0.83867776,0.0037798453
55,55,KBY15_IMG_17955-24453.png,0.0063320803,1.8549023,64951.98,0.019607846,582.14514,0.003176202,0.98953974,0.99111694,0.9911169,0.0031760957
56,56,KBY15_IMG_28215-22059.png,0.007063381,31.415688,56672.047,3.9529414,8828.584,0.0035457886,0.8882359,0.86521375,0.86522615,0.0035442077
57,57,KBY15_IMG_27018-15903.png,0.0041414322,3.0235298,64078.887,0.113725506,1453.9766,0.0020751746,0.96375,0.977813,0.97781235,0.0020750128
58,58,KBY15_IMG_15048-2736.png,0.006306749,14.141178,61065.684,0.3176471,4455.8594,0.0031635743,0.9780309,0.93199396,0.93200415,0.003163349
